From,station_name,To,station_name,total_wtrips
500,Acton Town,505,Alperton,143
500,Acton Town,506,Amersham,22
500,Acton Town,507,Angel,15
500,Acton Town,508,Archway,9
500,Acton Town,510,Arsenal,9
500,Acton Town,511,Baker Street,19
500,Acton Town,513,Bank,226
500,Acton Town,501,Barbican,7
500,Acton Town,516,Barons Court,36
500,Acton Town,517,Bayswater,2
500,Acton Town,787,Bermondsey,0
500,Acton Town,521,Blackfriars,52
500,Acton Town,522,Blackhorse Road,9
500,Acton Town,524,Bond Street,0
500,Acton Town,526,Boston Manor,66
500,Acton Town,527,Bounds Green,0
500,Acton Town,778,Brixton,26
500,Acton Town,534,Caledonian Road,20
500,Acton Town,535,Camden Town,15
500,Acton Town,788,Canada Water,0
500,Acton Town,852,Canary Wharf,62
500,Acton Town,884,Canning Town,63
500,Acton Town,536,Cannon Street,9
500,Acton Town,541,Chancery Lane,51
500,Acton Town,718,Charing Cross,0
500,Acton Town,545,Chiswick Park,0
500,Acton Town,547,Clapham Common,0
500,Acton Town,550,Cockfosters,62
500,Acton Town,553,Covent Garden,87
500,Acton Town,560,Ealing Broadway,59
500,Acton Town,561,Ealing Common,34
500,Acton Town,562,Earl's Court,171
500,Acton Town,565,East Finchley,1
500,Acton Town,567,East Putney,0
500,Acton Town,568,Edgware,0
500,Acton Town,542,Embankment,6
500,Acton Town,572,Epping,7
500,Acton Town,574,Euston,20
500,Acton Town,577,Farringdon,155
500,Acton Town,580,Finsbury Park,2
500,Acton Town,581,Fulham Broadway,43
500,Acton Town,582,Gants Hill,5
500,Acton Town,583,Gloucester Road,67
500,Acton Town,585,Goldhawk Road,1
500,Acton Town,586,Goodge Street,18
500,Acton Town,587,Grange Hill,2
500,Acton Town,588,Great Portland Street,2
500,Acton Town,590,Green Park,118
500,Acton Town,589,Greenford,0
500,Acton Town,593,Hammersmith,596
500,Acton Town,598,Harrow-on-the-Hill,6
500,Acton Town,779,Hatton Cross,0
500,Acton Town,781,Heathrow Terminal 4,105
500,Acton Town,780,Heathrow Terminals 123,2
500,Acton Town,601,Hendon Central,4
500,Acton Town,605,High Street Kensington,0
500,Acton Town,603,Highbury & Islington,0
500,Acton Town,607,Holborn,117
500,Acton Town,611,Hounslow Central,226
500,Acton Town,612,Hounslow East,21
500,Acton Town,613,Hounslow West,36
500,Acton Town,614,Hyde Park Corner,74
500,Acton Town,615,Ickenham,3
500,Acton Town,616,Kennington,5
500,Acton Town,625,King's Cross St. Pancras,182
500,Acton Town,626,Knightsbridge,57
500,Acton Town,631,Leicester Square,102
500,Acton Town,632,Leyton,9
500,Acton Town,634,Liverpool Street,193
500,Acton Town,635,London Bridge,93
500,Acton Town,639,Mansion House,39
500,Acton Town,640,Marble Arch,0
500,Acton Town,645,Moorgate,124
500,Acton Town,648,Mornington Crescent,0
500,Acton Town,653,North Acton,2
500,Acton Town,654,North Ealing,0
500,Acton Town,789,North Greenwich,20
500,Acton Town,655,Northfields,310
500,Acton Town,661,Northwood,3
500,Acton Town,667,Osterley,3
500,Acton Town,669,Oxford Circus,67
500,Acton Town,670,Paddington,28
500,Acton Town,671,Park Royal,9
500,Acton Town,672,Parsons Green,0
500,Acton Town,674,Picadilly Circus,174
500,Acton Town,776,Pimlico,27
500,Acton Town,682,Ravenscourt Park,12
500,Acton Town,683,Rayners Lane,37
500,Acton Town,685,Regent's Park,9
500,Acton Town,686,Richmond,46
500,Acton Town,687,Rickmansworth,38
500,Acton Town,690,Royal Oak,2
500,Acton Town,691,Ruislip,51
500,Acton Town,694,Russell Square,32
500,Acton Town,700,Shepherd's Bush (C),1
500,Acton Town,702,Sloane Square,52
500,Acton Town,704,South Ealing,52
500,Acton Town,707,South Harrow,58
500,Acton Town,708,South Kensington,179
500,Acton Town,784,Southwark,30
500,Acton Town,695,St. James's Park,83
500,Acton Town,697,St. Paul's,0
500,Acton Town,713,Stamford Brook,6
500,Acton Town,715,Stepney Green,6
500,Acton Town,716,Stockwell,20
500,Acton Town,720,Sudbury Hill,190
500,Acton Town,723,Swiss Cottage,2
500,Acton Town,724,Temple,18
500,Acton Town,725,Theydon Bois,0
500,Acton Town,727,Tooting Broadway,22
500,Acton Town,728,Tottenham Court Road,33
500,Acton Town,729,Tottenham Hale,35
500,Acton Town,731,Tower Hill,37
500,Acton Town,734,Turnham Green,48
500,Acton Town,740,Uxbridge,48
500,Acton Town,741,Victoria,33
500,Acton Town,742,Walthamstow Central,23
500,Acton Town,745,Warren Street,8
500,Acton Town,746,Warwick Avenue,7
500,Acton Town,747,Waterloo,0
500,Acton Town,755,West Brompton,8
500,Acton Town,760,West Kensington,64
500,Acton Town,754,Westbourne Park,22
500,Acton Town,761,Westminster,35
500,Acton Town,763,Whitechapel,10
500,Acton Town,765,Willesden Green,0
500,Acton Town,767,Wimbledon,71
500,Acton Town,768,Wimbledon Park,97
500,Acton Town,770,Wood Green,27
502,Aldgate,500,Acton Town,0
502,Aldgate,506,Amersham,0
502,Aldgate,507,Angel,46
502,Aldgate,508,Archway,12
502,Aldgate,509,Arnos Grove,22
502,Aldgate,510,Arsenal,0
502,Aldgate,511,Baker Street,271
502,Aldgate,512,Balham,2
502,Aldgate,513,Bank,11
502,Aldgate,501,Barbican,213
502,Aldgate,517,Bayswater,15
502,Aldgate,519,Belsize Park,0
502,Aldgate,520,Bethnal Green,0
502,Aldgate,521,Blackfriars,37
502,Aldgate,522,Blackhorse Road,47
502,Aldgate,524,Bond Street,35
502,Aldgate,527,Bounds Green,0
502,Aldgate,778,Brixton,1
502,Aldgate,532,Burnt Oak,78
502,Aldgate,534,Caledonian Road,0
502,Aldgate,535,Camden Town,20
502,Aldgate,536,Cannon Street,62
502,Aldgate,537,Canons Park,26
502,Aldgate,539,Chalfont & Latimer,39
502,Aldgate,540,Chalk Farm,30
502,Aldgate,541,Chancery Lane,8
502,Aldgate,718,Charing Cross,10
502,Aldgate,543,Chesham,141
502,Aldgate,546,Chorleywood,15
502,Aldgate,547,Clapham Common,31
502,Aldgate,550,Cockfosters,14
502,Aldgate,551,Colindale,2
502,Aldgate,552,Colliers Wood,85
502,Aldgate,553,Covent Garden,0
502,Aldgate,554,Croxley,10
502,Aldgate,558,Dollis Hill,48
502,Aldgate,560,Ealing Broadway,126
502,Aldgate,562,Earl's Court,10
502,Aldgate,565,East Finchley,64
502,Aldgate,564,Eastcote,3
502,Aldgate,568,Edgware,5
502,Aldgate,569,Edgware Road (C),93
502,Aldgate,570,Elephant & Castle,0
502,Aldgate,542,Embankment,3
502,Aldgate,572,Epping,29
502,Aldgate,574,Euston,21
502,Aldgate,575,Euston Square,618
502,Aldgate,577,Farringdon,1638
502,Aldgate,578,Finchley Central,0
502,Aldgate,579,Finchley Road,117
502,Aldgate,580,Finsbury Park,29
502,Aldgate,582,Gants Hill,21
502,Aldgate,583,Gloucester Road,0
502,Aldgate,584,Golders Green,15
502,Aldgate,588,Great Portland Street,299
502,Aldgate,590,Green Park,18
502,Aldgate,593,Hammersmith,0
502,Aldgate,594,Hampstead,3
502,Aldgate,597,Harrow & Wealdston,32
502,Aldgate,598,Harrow-on-the-Hill,186
502,Aldgate,601,Hendon Central,0
502,Aldgate,602,High Barnet,49
502,Aldgate,605,High Street Kensington,7
502,Aldgate,603,Highbury & Islington,5
502,Aldgate,604,Highgate,0
502,Aldgate,606,Hillingdon,23
502,Aldgate,608,Holland Park,8
502,Aldgate,609,Holloway Road,70
502,Aldgate,615,Ickenham,36
502,Aldgate,616,Kennington,0
502,Aldgate,617,Kensal Green,0
502,Aldgate,619,Kentish Town,14
502,Aldgate,622,Kilburn,107
502,Aldgate,623,Kilburn Park,39
502,Aldgate,625,King's Cross St. Pancras,1106
